Year,Family,f_N,f_prop,f_effort,f_abundance,t_N,t_prop,t_effort,t_abundance,,,,
1999,BUTTERFISH,1926,1.53E-02,NA,1.61E+01,17,1.97E-02,899,1.89E-02,,,,
1999,HAKE,21673,6.63E-01,NA,8.17E+01,633,7.32E-01,899,7.04E-01,,,,
1999,HERRING,3478,1.55E-01,NA,1.37E+00,175,2.02E-01,899,1.95E-01,,,,
1999,MACKEREL,769,4.31E-02,NA,4.91E-01,2,2.31E-03,899,2.22E-03,,,,
1999,POLLOCK,425,1.23E-01,NA,2.06E-01,13,1.50E-02,899,1.45E-02,,,,
1999,SAND LANCE,30,3.37E-05,NA,2.07E-01,25,2.89E-02,899,2.78E-02,,,,
2000,BUTTERFISH,2034,2.65E-02,NA,1.98E+01,15,2.87E-02,773.42,1.94E-02,,,,
2000,HAKE,16597,6.84E-01,NA,5.08E+01,417,7.99E-01,773.42,5.39E-01,,,,
2000,HERRING,5414,2.43E-01,NA,1.64E+00,63,1.21E-01,773.42,8.15E-02,,,,
2000,MACKEREL,219,6.54E-03,NA,2.20E-01,6,1.15E-02,773.42,7.76E-03,,,,
2000,POLLOCK,278,3.93E-02,NA,6.65E-02,3,5.75E-03,773.42,3.88E-03,,,,
2000,SAND LANCE,579,1.62E-03,NA,4.34E+00,18,3.45E-02,773.42,2.33E-02,,,,
2001,BUTTERFISH,5611,8.67E-02,NA,5.22E+00,11,1.70E-02,651.17,1.69E-02,,,,-
2001,HAKE,11937,5.45E-01,NA,3.56E+01,186,2.87E-01,651.17,2.86E-01,,,,
2001,HERRING,4709,1.97E-01,NA,2.64E+00,394,6.08E-01,651.17,6.05E-01,,,,
2001,MACKEREL,938,5.47E-02,NA,7.90E-01,1,1.54E-03,651.17,1.54E-03,,,,
2001,POLLOCK,272,1.13E-01,NA,9.66E-02,2,3.09E-03,651.17,3.07E-03,,,,
2001,SAND LANCE,1795,3.80E-03,NA,1.47E+01,54,8.33E-02,651.17,8.29E-02,,,,
2002,BUTTERFISH,17150,8.01E-02,NA,1.72E+02,21,4.23E-02,954.38,2.20E-02,,,,
2002,HAKE,11864,3.30E-01,NA,4.46E+01,393,7.92E-01,954.38,4.12E-01,,,,
2002,HERRING,19154,5.42E-01,NA,2.11E+01,21,4.23E-02,954.38,2.20E-02,,,,
2002,MACKEREL,460,1.34E-02,NA,5.94E-01,39,7.86E-02,954.38,4.09E-02,,,,
2002,POLLOCK,119,3.39E-02,NA,1.45E-02,1,2.02E-03,954.38,1.05E-03,,,,
2002,SANDLANCE,,,NA,,21,4.23E-02,954.38,2.20E-02,,,,
2003,BUTTERFISH,3699,2.71E-02,NA,3.68E+01,,,,,,,,
2003,HAKE,12646,3.73E-01,NA,5.54E+01,,,,,,,,
2003,HERRING,8738,3.16E-01,NA,8.79E+00,,,,,,,,
2003,MACKEREL,5744,1.35E-01,NA,2.07E+01,5,8.33E-01,107.53,4.65E-02,,,,
2003,POLLOCK,594,1.49E-01,NA,5.06E-01,,,,,,,,
2003,SAND LANCE,24,6.10E-05,NA,1.42E-01,1,1.67E-01,107.53,9.30E-03,,,,
2004,BUTTERFISH,6408,4.47E-02,NA,6.58E+01,1,1.16E-02,115,8.70E-03,,,,
2004,HAKE,5062,3.77E-01,NA,2.10E+01,30,3.49E-01,115,2.61E-01,,,,
2004,HERRING,8009,4.75E-01,NA,1.35E+01,,,,,,,,
2004,MACKEREL,55,3.84E-03,NA,6.10E-02,,,,,,,,
2004,POLLOCK,182,9.96E-02,NA,1.65E-01,,,,,,,,
2004,SAND LANCE,4,3.15E-05,NA,3.29E-02,55,6.40E-01,115,4.78E-01,,,,
2005,BUTTERFISH,292,2.38E-03,NA,3.05E+00,32,9.30E-02,507.88,6.30E-02,,,,
2005,HAKE,3352,1.70E-01,NA,1.17E+01,275,7.99E-01,507.88,5.41E-01,,,,
2005,HERRING,13702,4.59E-01,NA,2.57E+01,23,6.69E-02,507.88,4.53E-02,,,,
2005,MACKEREL,1516,5.25E-02,NA,5.72E+00,9,2.62E-02,507.88,1.77E-02,,,,
2005,POLLOCK,633,3.14E-01,NA,5.33E-01,,,,,,,,
2005,SAND LANCE,1058,1.58E-03,NA,9.04E+00,5,1.45E-02,507.88,9.84E-03,,,,
2006,BUTTERFISH,15998,1.54E-01,NA,1.49E+02,18,9.52E-02,236.33,7.62E-02,,,,
2006,HAKE,10777,2.72E-01,NA,3.77E+01,147,7.78E-01,236.33,6.22E-01,,,,
2006,HERRING,16197,4.72E-01,NA,6.46E+00,10,5.29E-02,236.33,4.23E-02,,,,
2006,MACKEREL,433,9.68E-03,NA,2.31E-01,3,1.59E-02,236.33,1.27E-02,,,,
2006,POLLOCK,385,8.99E-02,NA,2.44E-01,,,,,,,,
2006,SAND LANCE,1015,2.07E-03,NA,8.28E+00,11,5.82E-02,236.33,4.65E-02,,,,
2007,BUTTERFISH,5858,3.86E-02,NA,5.68E+01,8,1.80E-02,450.1,1.78E-02,,,,
2007,HAKE,9695,4.91E-01,NA,3.25E+01,228,5.14E-01,450.1,5.07E-01,,,,
2007,HERRING,7127,3.36E-01,NA,6.23E+00,128,2.88E-01,450.1,2.84E-01,,,,
2007,MACKEREL,1688,3.47E-02,NA,3.65E+00,52,1.17E-01,450.1,1.16E-01,,,,
2007,POLLOCK,70,6.92E-02,NA,1.18E-02,1,2.25E-03,450.1,2.22E-03,,,,
2007,SAND LANCE,4888,2.98E-02,NA,3.56E+01,27,6.08E-02,450.1,6.00E-02,,,,
2008,BUTTERFISH,1810,9.73E-03,NA,1.73E+01,11,3.78E-02,337.33,3.26E-02,,,,
2008,HAKE,9538,4.87E-01,NA,3.01E+01,137,4.71E-01,337.33,4.06E-01,,,,
2008,HERRING,9365,3.79E-01,NA,3.82E+00,117,4.02E-01,337.33,3.47E-01,,,,
2008,MACKEREL,304,2.00E-02,NA,6.31E-01,6,2.06E-02,337.33,1.78E-02,,,,
2008,POLLOCK,119,1.04E-01,NA,2.53E-02,,,,,,,,
2008,SAND LANCE,632,1.53E-03,NA,5.67E+00,20,6.87E-02,337.33,5.93E-02,,,,
2009,BUTTERFISH,5957,2.50E-02,NA,6.38E+01,17,1.40E-01,71.12,2.39E-01,,,,
2009,HAKE,57430,6.01E-01,NA,2.48E+02,33,2.73E-01,71.12,4.64E-01,,,,
2009,HERRING,36052,3.57E-01,NA,9.20E+01,57,4.71E-01,71.12,8.01E-01,,,,
2009,MACKEREL,475,1.28E-02,NA,1.25E-01,10,8.26E-02,71.12,1.41E-01,,,,
2009,POLLOCK,101,4.55E-03,NA,2.52E-01,,,,,,,,
2009,SAND LANCE,16,1.86E-05,NA,1.52E-01,4,3.31E-02,71.12,5.62E-02,,,,
2010,BUTTERFISH,3232,1.42E-02,NA,3.94E+01,4,8.33E-02,341.77,1.17E-02,,,,
2010,HAKE,78609,8.07E-01,NA,4.08E+02,10,2.08E-01,341.77,2.93E-02,,,,
2010,HERRING,14825,1.38E-01,NA,5.66E+01,31,6.46E-01,341.77,9.07E-02,,,,
2010,MACKEREL,1072,8.90E-03,NA,2.35E+00,3,6.25E-02,341.77,8.78E-03,,,,
2010,POLLOCK,103,3.26E-02,NA,8.05E-02,,,,,,,,
2010,SAND LANCE,18,5.27E-05,NA,1.83E-01,,,,,,,,
2011,BUTTERFISH,6860,2.07E-02,NA,7.65E+01,106,3.03E-01,421.95,2.51E-01,,,,
2011,HAKE,54922,5.19E-01,NA,2.29E+02,137,3.91E-01,421.95,3.25E-01,,,,
2011,HERRING,53175,3.88E-01,NA,8.98E+01,69,1.97E-01,421.95,1.64E-01,,,,
2011,MACKEREL,3503,3.43E-02,NA,1.93E+00,16,4.57E-02,421.95,3.79E-02,,,,
2011,POLLOCK,781,3.77E-02,NA,4.27E-01,,,,,,,,
2011,SANDLANCE,,,,,22,6.29E-02,421.95,5.21E-02,,,,
2012,BUTTERFISH,10346,4.30E-02,NA,9.34E+01,1,2.33E-02,577.43,1.73E-03,,,,
2012,HAKE,132421,7.68E-01,NA,4.52E+02,,,,,,,,
2012,HERRING,22588,1.55E-01,NA,3.08E+01,29,6.74E-01,577.43,5.02E-02,,,,
2012,MACKEREL,2622,2.23E-02,NA,1.18E+00,8,1.86E-01,577.43,1.39E-02,,,,
2012,POLLOCK,216,1.17E-02,NA,9.63E-02,,,,,,,,
2012,SAND LANCE,684,2.07E-04,NA,6.28E+00,5,1.16E-01,577.43,8.66E-03,,,,
2013,BUTTERFISH,1512,6.88E-03,NA,1.33E+01,4,1.58E-02,483.73,8.27E-03,,,,
2013,HAKE,100235,7.91E-01,NA,3.33E+02,157,6.21E-01,483.73,3.25E-01,,,,
2013,HERRING,21680,1.95E-01,NA,2.46E+01,81,3.20E-01,483.73,1.67E-01,,,,
2013,MACKEREL,172,2.37E-03,NA,5.10E-02,3,1.19E-02,483.73,6.20E-03,,,,
2013,POLLOCK,163,4.71E-03,NA,5.49E-02,1,3.95E-03,483.73,2.07E-03,,,,
2013,SAND LANCE,1,1.11E-06,NA,5.39E-03,7,2.77E-02,483.73,1.45E-02,,,,
2014,BUTTERFISH,9334,1.63E-02,NA,8.11E+01,31,6.26E-02,642.18,4.83E-02,,,,
2014,HAKE,109364,6.84E-01,NA,3.33E+02,200,4.04E-01,642.18,3.11E-01,,,,
2014,HERRING,29639,2.20E-01,NA,2.05E+01,163,3.29E-01,642.18,2.54E-01,,,,
2014,MACKEREL,3059,4.36E-02,NA,9.15E-01,5,1.01E-02,642.18,7.79E-03,,,,
2014,POLLOCK,1137,3.66E-02,NA,1.25E-01,8,1.62E-02,642.18,1.25E-02,,,,
2014,SAND LANCE,3,7.19E-07,NA,1.57E-02,88,1.78E-01,642.18,1.37E-01,,,,
2015,BUTTERFISH,18256,4.20E-02,NA,1.59E+02,13,3.37E-02,616.55,2.11E-02,,,,
2015,HAKE,85862,7.38E-01,NA,2.15E+02,216,5.60E-01,616.55,3.50E-01,,,,
2015,HERRING,24354,1.72E-01,NA,2.09E+01,91,2.36E-01,616.55,1.48E-01,,,,
2015,MACKEREL,2708,3.15E-02,NA,8.37E-01,5,1.30E-02,616.55,8.11E-03,,,,
2015,POLLOCK,364,1.66E-02,NA,3.89E-02,,,,,,,,
2015,SAND LANCE,5,2.00E-06,NA,3.97E-02,61,1.58E-01,616.55,9.89E-02,,,,
2016,BUTTERFISH,19715,1.86E-02,NA,1.57E+02,,,,,,,,
2016,HAKE,127670,6.39E-01,NA,2.77E+02,,,,,,,,
2016,HERRING,42777,2.44E-01,NA,1.62E+01,,,,,,,,
2016,MACKEREL,9968,8.95E-02,NA,2.85E+00,,,,,,,,
2016,POLLOCK,248,8.41E-03,NA,2.45E-02,,,,,,,,
2016,SAND LANCE,6,1.78E-06,NA,4.96E-02,,,,,,,,
2017,BUTTERFISH,1371,3.65E-03,NA,1.66E+01,11,1.83E-01,NA,NA,,,,
2017,HAKE,83584,4.77E-01,NA,4.08E+02,34,5.67E-01,NA,NA,,,,
2017,HERRING,26354,2.40E-01,NA,2.01E+01,12,2.00E-01,NA,NA,,,,
2017,MACKEREL,18273,2.74E-01,NA,5.61E+00,,,,,,,,
2017,POLLOCK,62,5.21E-03,NA,9.40E-03,,,,,,,,
2017,SAND LANCE,5,2.33E-06,NA,6.33E-02,3,5.00E-02,NA,NA,,,,
2018,BUTTERFISH,17762,2.69E-02,NA,2.24E+02,47,2.99E-01,NA,NA,,,,
2018,HAKE,61818,7.46E-01,NA,3.24E+02,55,3.50E-01,NA,NA,,,,
2018,HERRING,8853,1.67E-01,NA,7.85E+00,40,2.55E-01,NA,NA,,,,
2018,MACKEREL,2500,5.33E-02,NA,3.12E+00,,,,,,,,
2018,POLLOCK,63,6.58E-03,NA,9.80E-03,4,2.55E-02,NA,NA,,,,
2018,SAND LANCE,5,6.19E-06,NA,6.07E-02,11,7.01E-02,NA,NA,,,,
2019,BUTTERFISH,2991,3.65E-03,NA,3.05E+01,24,5.24E-02,NA,NA,,,,
2019,HAKE,83836,7.64E-01,NA,3.31E+02,263,5.74E-01,NA,NA,,,,
2019,HERRING,7580,8.75E-02,NA,1.13E+01,158,3.45E-01,NA,NA,,,,
2019,MACKEREL,6492,1.32E-01,NA,6.96E+00,,,,,,,,
2019,POLLOCK,46,1.30E-02,NA,5.80E-03,,,,,,,,
2019,SAND LANCE,1,8.16E-07,NA,3.95E-03,13,2.84E-02,NA,NA,,,,
