Year Tern,Family,t_N,t_prop,t_effort,t_abundance,f_N_adjfall,f_prop_adjfall,f_abundance_adjfall,f_N_adjspring,f_prop_adjspring,f_abundance_adjspring,f_abundance_adjfall_100km_DNAweight,f_abundance_adjspring_100km_DNAweight,f_abundance_fall_100km_DNAweight,f_abundance_spring_100km_DNAweight,f_abundance_adjfall_GOM_DNAweight,f_abundance_adjspring_GOM_DNAweight,f_abundance_fall_GOM_DNAweight,f_abundance_spring_GOM_DNAweight,f_N_fall_lag1,f_prop_fall_lag1,f_abundance_fall_lag1,f_N_spring_lag1,f_prop_spring_lag1,f_abundance_spring_lag1,f_N_fall_lag2,f_prop_fall_lag2,f_abundance_fall_lag2,f_N_spring_lag2,f_prop_spring_lag2,f_abundance_spring_lag2,f_N_fall_lag3,f_prop_fall_lag3,f_abundance_fall_lag3,f_N_spring_lag3,f_prop_spring_lag3,f_abundance_spring_lag3,f_abundance_fall_100km_DNAweight_lag1,f_abundance_fall_100km_DNAweight_lag2,f_abundance_fall_100km_DNAweight_lag3,f_abundance_spring_100km_DNAweight_lag1,f_abundance_spring_100km_DNAweight_lag2,f_abundance_spring_100km_DNAweight_lag3,f_abundance_fall_GOM_DNAweight_lag1,f_abundance_fall_GOM_DNAweight_lag2,f_abundance_fall_GOM_DNAweight_lag3,f_abundance_spring_GOM_DNAweight_lag1,f_abundance_spring_GOM_DNAweight_lag2,f_abundance_spring_GOM_DNAweight_lag3
1999,HAKE,633,7.32E-01,899,7.04E-01,21673,6.63E-01,8.17E+01,6850,0.58400,2.21E+01,32.65535714,16.52330827,32.65535714,16.52330827,35.10960591,13.7447205,35.10960591,13.7447205,16619,0.683730968,1.75E+02,17263,0.513665213,1.76E+02,11954,0.54544139,1.21E+02,15490,0.445750797,1.60E+02,11879,0.330521638,1.26E+02,7467,0.647594307,6.98E+01,43.31972789,16.57983193,32.48721805,25.80793651,30.74285714,16.32919255,32.80962406,22.51890332,24.81075269,31.9212828,28.91752577,13.74018692
2000,HAKE,417,7.99E-01,773.42,5.39E-01,16597,6.84E-01,5.08E+01,17260,0.51400,3.17E+01,43.31972789,25.80793651,43.31972789,25.80793651,32.80962406,31.9212828,32.80962406,31.9212828,11954,0.54544139,1.21E+02,15490,0.445750797,1.60E+02,11879,0.330521638,1.26E+02,7467,0.647594307,6.98E+01,12650,0.372733768,1.35E+02,10033,0.623558695,1.10E+02,16.57983193,32.48721805,19.10075188,30.74285714,16.32919255,12.78646617,22.51890332,24.81075269,25.47112462,28.91752577,13.74018692,20.89230769
2001,HAKE,186,2.87E-01,651.17,2.86E-01,11937,5.45E-01,3.56E+01,15473,0.44600,3.07E+01,16.57983193,30.74285714,16.57983193,30.74285714,22.51890332,28.91752577,22.51890332,28.91752577,11879,0.330521638,1.26E+02,7467,0.647594307,6.98E+01,12650,0.372733768,1.35E+02,10033,0.623558695,1.10E+02,5072,0.377402305,5.76E+01,5624,0.660915801,5.74E+01,32.48721805,19.10075188,14.56964286,16.32919255,12.78646617,19.20857143,24.81075269,25.47112462,11.19512987,13.74018692,20.89230769,11.5180758
2002,HAKE,393,7.92E-01,954.38,4.12E-01,11864,3.30E-01,4.46E+01,7454,0.64800,1.19E+01,32.48721805,16.32919255,32.48721805,16.32919255,24.81075269,13.74018692,24.81075269,13.74018692,12650,0.372733768,1.35E+02,10033,0.623558695,1.10E+02,5072,0.377402305,5.76E+01,5624,0.660915801,5.74E+01,3353,0.169704483,3.73E+01,2008,0.465649237,2.11E+01,19.10075188,14.56964286,6.463865546,12.78646617,19.20857143,4.994557823,25.47112462,11.19512987,8.271111111,20.89230769,11.5180758,5.109473684
2003,HAKE,0,0,954.38,0,12646,3.73E-01,5.54E+01,10032,0.62400,2.94E+01,19.10075188,12.78646617,19.10075188,12.78646617,25.47112462,20.89230769,25.47112462,20.89230769,5072,0.377402305,5.76E+01,5624,0.660915801,5.74E+01,3353,0.169704483,3.73E+01,2008,0.465649237,2.11E+01,10781,0.272550123,1.04E+02,2132,0.217875677,2.01E+01,14.56964286,6.463865546,7.535960591,19.20857143,4.994557823,5.355279503,11.19512987,8.271111111,19.1978022,11.5180758,5.109473684,4.414285714
2004,HAKE,30,3.49E-01,115,2.61E-01,5062,3.77E-01,2.10E+01,5617,0.66100,1.38E+01,14.56964286,19.20857143,14.56964286,19.20857143,11.19512987,11.5180758,11.19512987,11.5180758,3353,0.169704483,3.73E+01,2008,0.465649237,2.11E+01,10781,0.272550123,1.04E+02,2132,0.217875677,2.01E+01,9718,0.49161261,1.00E+02,7278,0.316795047,7.66E+01,6.463865546,7.535960591,16.8122449,4.994557823,5.355279503,16.57285714,8.271111111,19.1978022,20.17172312,5.109473684,4.414285714,14.08784195
2005,HAKE,275,7.99E-01,507.88,5.41E-01,3352,1.70E-01,1.17E+01,2007,0.46600,3.50E+00,6.463865546,4.994557823,6.463865546,4.994557823,8.271111111,5.109473684,8.271111111,5.109473684,10781,0.272550123,1.04E+02,2132,0.217875677,2.01E+01,9718,0.49161261,1.00E+02,7278,0.316795047,7.66E+01,9340,0.47914637,9.25E+01,5811,0.470939435,6.05E+01,7.535960591,16.8122449,28.37142857,5.355279503,16.57285714,20.87142857,19.1978022,20.17172312,20.1125884,4.414285714,14.08784195,13.33392857
2006,HAKE,147,7.78E-01,236.33,6.22E-01,10777,2.72E-01,3.77E+01,2128,0.21800,5.54E+00,7.535960591,5.355279503,7.535960591,5.355279503,19.1978022,4.414285714,19.1978022,4.414285714,9718,0.49161261,1.00E+02,7278,0.316795047,7.66E+01,9340,0.47914637,9.25E+01,5811,0.470939435,6.05E+01,57556,0.601077493,6.26E+02,39960,0.536620556,3.39E+02,16.8122449,28.37142857,209.7085714,16.57285714,20.87142857,84.99503106,20.17172312,20.1125884,116.1093168,14.08784195,13.33392857,63.39757869
2007,HAKE,228,5.14E-01,450.1,5.07E-01,9695,4.91E-01,3.25E+01,7275,0.31700,1.89E+01,16.8122449,16.57285714,16.8122449,16.57285714,20.17172312,14.08784195,20.17172312,14.08784195,9340,0.47914637,9.25E+01,5811,0.470939435,6.05E+01,57556,0.601077493,6.26E+02,39960,0.536620556,3.39E+02,78652,0.806759015,9.71E+02,142981,0.777944496,1.25E+03,28.37142857,209.7085714,141.0142857,20.87142857,84.99503106,139.9047619,20.1125884,116.1093168,174.9287478,13.33392857,63.39757869,220.1145363
2008,HAKE,137,4.71E-01,337.33,4.06E-01,9538,4.87E-01,3.01E+01,5806,0.47100,1.31E+01,28.37142857,20.87142857,28.37142857,20.87142857,20.1125884,13.33392857,20.1125884,13.33392857,57556,0.601077493,6.26E+02,39960,0.536620556,3.39E+02,78652,0.806759015,9.71E+02,142981,0.777944496,1.25E+03,54967,0.519479954,6.18E+02,47935,0.626846256,4.75E+02,209.7085714,141.0142857,107.0316327,84.99503106,139.9047619,104.0753247,116.1093168,174.9287478,110.8012841,63.39757869,220.1145363,84.96011315
2009,HAKE,33,2.73E-01,71.12,4.64E-01,57430,6.01E-01,2.48E+02,39911,0.53600,7.14E+01,209.7085714,84.99503106,209.7085714,84.99503106,116.1093168,63.39757869,116.1093168,63.39757869,78652,0.806759015,9.71E+02,142981,0.777944496,1.25E+03,54967,0.519479954,6.18E+02,47935,0.626846256,4.75E+02,132571,0.767870726,1.19E+03,155953,0.530196773,1.25E+03,141.0142857,107.0316327,246.1809524,139.9047619,104.0753247,281.9406593,174.9287478,110.8012841,212.0133683,220.1145363,84.96011315,216.6242286
2010,HAKE,10,2.08E-01,341.77,2.93E-02,78609,8.07E-01,4.08E+02,142870,0.77800,3.27E+02,141.0142857,139.9047619,141.0142857,139.9047619,174.9287478,220.1145363,174.9287478,220.1145363,54967,0.519479954,6.18E+02,47935,0.626846256,4.75E+02,132571,0.767870726,1.19E+03,155953,0.530196773,1.25E+03,100379,0.791346433,9.13E+02,96274,0.567572387,7.89E+02,107.0316327,246.1809524,129.4630952,104.0753247,281.9406593,97.08202765,110.8012841,212.0133683,158.7012987,84.96011315,216.6242286,137.0163934
2011,HAKE,137,3.91E-01,421.95,3.25E-01,54922,5.19E-01,2.29E+02,47881,0.62700,8.96E+01,107.0316327,104.0753247,107.0316327,104.0753247,110.8012841,84.96011315,110.8012841,84.96011315,132571,0.767870726,1.19E+03,155953,0.530196773,1.25E+03,100379,0.791346433,9.13E+02,96274,0.567572387,7.89E+02,109392,0.683891759,1.00E+03,137384,0.789249161,1.26E+03,246.1809524,129.4630952,237.3634286,281.9406593,97.08202765,228.7547619,212.0133683,158.7012987,173.7281782,216.6242286,137.0163934,216.921363
2012,HAKE,0,0,577.43,0,132421,7.68E-01,4.52E+02,155845,0.53000,2.72E+02,246.1809524,281.9406593,246.1809524,281.9406593,212.0133683,216.6242286,212.0133683,216.6242286,100379,0.791346433,9.13E+02,96274,0.567572387,7.89E+02,109392,0.683891759,1.00E+03,137384,0.789249161,1.26E+03,86023,0.738430645,7.68E+02,84172,0.610232977,6.96E+02,129.4630952,237.3634286,87.82087912,97.08202765,228.7547619,125.5122449,158.7012987,173.7281782,136.1382653,137.0163934,216.921363,120.4096812
2013,HAKE,157,6.21E-01,483.73,3.25E-01,100235,7.91E-01,3.33E+02,96134,0.56700,1.56E+02,129.4630952,97.08202765,129.4630952,97.08202765,158.7012987,137.0163934,158.7012987,137.0163934,109392,0.683891759,1.00E+03,137384,0.789249161,1.26E+03,86023,0.738430645,7.68E+02,84172,0.610232977,6.96E+02,128059,0.639774397,1.05E+03,98698,0.671628676,8.22E+02,237.3634286,87.82087912,153.9967033,228.7547619,125.5122449,148.3771429,173.7281782,136.1382653,185.8439197,216.921363,120.4096812,143.8166667
2014,HAKE,200,4.04E-01,642.18,3.11E-01,109364,6.84E-01,3.33E+02,137349,0.78900,2.11E+02,237.3634286,228.7547619,237.3634286,228.7547619,173.7281782,216.921363,173.7281782,216.921363,86023,0.738430645,7.68E+02,84172,0.610232977,6.96E+02,128059,0.639774397,1.05E+03,98698,0.671628676,8.22E+02,83682,0.477676402,1.06E+03,86297,0.732144062,8.54E+02,87.82087912,153.9967033,195.3035714,125.5122449,148.3771429,113.6256158,136.1382653,185.8439197,184.6607595,120.4096812,143.8166667,148.9445714
2015,HAKE,216,5.60E-01,616.55,3.50E-01,85862,7.38E-01,2.15E+02,84106,0.61000,1.18E+02,87.82087912,125.5122449,87.82087912,125.5122449,136.1382653,120.4096812,136.1382653,120.4096812,128059,0.639774397,1.05E+03,98698,0.671628676,8.22E+02,83682,0.477676402,1.06E+03,86297,0.732144062,8.54E+02,61896,0.746625254,8.04E+02,63214,0.747798138,1.05E+03,153.9967033,195.3035714,177.7059524,148.3771429,113.6256158,234.0554622,185.8439197,184.6607595,138.5877551,143.8166667,148.9445714,183.5052381
2016,HAKE,0,0,616.55,0,127670,6.39E-01,2.77E+02,98659,0.67200,1.19E+02,153.9967033,148.3771429,153.9967033,148.3771429,185.8439197,143.8166667,185.8439197,143.8166667,83682,0.477676402,1.06E+03,86297,0.732144062,8.54E+02,61896,0.746625254,8.04E+02,63214,0.747798138,1.05E+03,83868,0.764452621,8.83E+02,73331,0.647234321,6.67E+02,195.3035714,177.7059524,137.1701299,113.6256158,234.0554622,114.9821429,184.6607595,138.5877551,154.9166917,148.9445714,183.5052381,117.7519481
2017,HAKE,34,5.67E-01,NA,NA,83584,4.77E-01,4.08E+02,85653,0.73200,1.85E+02,195.3035714,113.6256158,195.3035714,113.6256158,184.6607595,148.9445714,184.6607595,148.9445714,61896,0.746625254,8.04E+02,63214,0.747798138,1.05E+03,83868,0.764452621,8.83E+02,73331,0.647234321,6.67E+02,3478,0.154693535,3.00E+01,3325,0.190472036,3.61E+01,177.7059524,137.1701299,57.64017857,234.0554622,114.9821429,9.65112782,138.5877551,154.9166917,27.54729064,183.5052381,117.7519481,23.10279503
2018,HAKE,55,3.50E-01,NA,NA,61818,7.46E-01,3.24E+02,63186,0.74800,2.35E+02,177.7059524,234.0554622,177.7059524,234.0554622,138.5877551,183.5052381,138.5877551,183.5052381,83868,0.764452621,8.83E+02,73331,0.647234321,6.67E+02,3478,0.154693535,3.00E+01,3325,0.190472036,3.61E+01,5414,0.242357032,5.70E+01,7321,0.203704503,7.47E+01,137.1701299,57.64017857,84.40544218,114.9821429,9.65112782,16.92539683,154.9166917,27.54729064,43.07308271,117.7519481,23.10279503,51.92157434
2019,HAKE,263,5.74E-01,NA,NA,83836,7.64E-01,3.31E+02,73250,0.64700,1.54E+02,137.1701299,114.9821429,137.1701299,114.9821429,154.9166917,117.7519481,154.9166917,117.7519481,3478,0.154693535,3.00E+01,3325,0.190472036,3.61E+01,5414,0.242357032,5.70E+01,7321,0.203704503,7.47E+01,4709,0.196717943,4.76E+01,5795,0.13311561,5.97E+01,57.64017857,84.40544218,63.49747899,9.65112782,16.92539683,40.67428571,27.54729064,43.07308271,43.76998557,23.10279503,51.92157434,43.84123711
1999,HERRING,175,2.02E-01,899,1.95E-01,3478,1.55E-01,1.37E+00,3325,0.19100,3.47E+00,57.64017857,9.65112782,57.64017857,9.65112782,27.54729064,23.10279503,27.54729064,23.10279503,5414,0.242357032,5.70E+01,7321,0.203704503,7.47E+01,4709,0.196717943,4.76E+01,5795,0.13311561,5.97E+01,19154,0.542074555,2.04E+02,6238,0.187589998,5.83E+01,84.40544218,63.49747899,649.5067669,16.92539683,40.67428571,31.45093168,43.07308271,43.76998557,190.040553,51.92157434,43.84123711,45.0034713
2000,HERRING,63,1.21E-01,773.42,8.15E-02,5414,2.43E-01,1.64E+00,7321,0.20400,1.04E+01,84.40544218,16.92539683,84.40544218,16.92539683,43.07308271,51.92157434,43.07308271,51.92157434,4709,0.196717943,4.76E+01,5795,0.13311561,5.97E+01,19154,0.542074555,2.04E+02,6238,0.187589998,5.83E+01,8738,0.315595007,9.30E+01,5639,0.287741425,6.20E+01,63.49747899,649.5067669,124.7172932,40.67428571,31.45093168,118.8766917,43.76998557,190.040553,88.17203647,43.84123711,45.0034713,43.85211931
2001,HERRING,394,6.08E-01,651.17,6.05E-01,4709,1.97E-01,2.64E+00,5795,0.13300,4.44E+00,63.49747899,40.67428571,63.49747899,40.67428571,43.76998557,43.84123711,43.76998557,43.84123711,19154,0.542074555,2.04E+02,6238,0.187589998,5.83E+01,8738,0.315595007,9.30E+01,5639,0.287741425,6.20E+01,8009,0.474480011,9.10E+01,8659,0.260201493,8.84E+01,649.5067669,124.7172932,123.6892857,31.45093168,118.8766917,22.46,190.040553,88.17203647,83.10487013,45.0034713,43.85211931,71.35889213
2002,HERRING,21,4.23E-02,954.38,2.20E-02,19154,5.42E-01,2.11E+01,6238,0.18800,9.32E+00,649.5067669,31.45093168,649.5067669,31.45093168,190.040553,45.0034713,190.040553,45.0034713,8738,0.315595007,9.30E+01,5639,0.287741425,6.20E+01,8009,0.474480011,9.10E+01,8659,0.260201493,8.84E+01,13702,0.459428843,1.52E+02,3010,0.068491117,3.17E+01,124.7172932,123.6892857,276.4386555,118.8766917,22.46,30.83537415,88.17203647,83.10487013,121.9206349,43.85211931,71.35889213,13.36962406
2003,HERRING,0,0,954.38,0,8738,3.16E-01,8.79E+00,5639,0.28800,1.29E+01,124.7172932,118.8766917,124.7172932,118.8766917,88.17203647,43.85211931,88.17203647,43.85211931,8009,0.474480011,9.10E+01,8659,0.260201493,8.84E+01,13702,0.459428843,1.52E+02,3010,0.068491117,3.17E+01,16197,0.472194773,1.56E+02,13612,0.404941267,1.28E+02,123.6892857,276.4386555,459.320197,22.46,30.83537415,94.80993789,83.10487013,121.9206349,144.6458791,71.35889213,13.36962406,38.34070081
2004,HERRING,0,0.00E+00,115,0.00E+00,8009,4.75E-01,1.35E+01,8659,0.26000,2.01E+01,123.6892857,22.46,123.6892857,22.46,83.10487013,71.35889213,83.10487013,71.35889213,13702,0.459428843,1.52E+02,3010,0.068491117,3.17E+01,16197,0.472194773,1.56E+02,13612,0.404941267,1.28E+02,7127,0.336066176,7.35E+01,3253,0.12610576,3.42E+01,276.4386555,459.320197,83.31156463,30.83537415,94.80993789,2.627142857,121.9206349,144.6458791,68.97820324,13.36962406,38.34070081,16.59300912
2005,HERRING,23,6.69E-02,507.88,4.53E-02,13702,4.59E-01,2.57E+01,3010,0.06850,9.90E+00,276.4386555,30.83537415,276.4386555,30.83537415,121.9206349,13.36962406,121.9206349,13.36962406,16197,0.472194773,1.56E+02,13612,0.404941267,1.28E+02,7127,0.336066176,7.35E+01,3253,0.12610576,3.42E+01,9365,0.378515206,9.27E+01,3031,0.124974662,3.16E+01,459.320197,83.31156463,294.3865546,94.80993789,2.627142857,26.74603175,144.6458791,68.97820324,83.86958982,38.34070081,16.59300912,14.28720238
2006,HERRING,10,2.01E+03,236.33,4.23E-02,16197,4.72E-01,6.46E+00,13612,0.40500,4.52E+01,459.320197,94.80993789,459.320197,94.80993789,144.6458791,38.34070081,144.6458791,38.34070081,7127,0.336066176,7.35E+01,3253,0.12610576,3.42E+01,9365,0.378515206,9.27E+01,3031,0.124974662,3.16E+01,36052,0.356531595,3.92E+02,27322,0.402378094,2.32E+02,83.31156463,294.3865546,371.8471429,2.627142857,26.74603175,184.2434783,68.97820324,83.86958982,336.5751553,16.59300912,14.28720238,129.1656174
2007,HERRING,128,2.88E-01,450.1,2.84E-01,7127,3.36E-01,6.23E+00,3253,0.12600,6.78E+00,83.31156463,2.627142857,83.31156463,2.627142857,68.97820324,16.59300912,68.97820324,16.59300912,9365,0.378515206,9.27E+01,3031,0.124974662,3.16E+01,36052,0.356531595,3.92E+02,27322,0.402378094,2.32E+02,14825,0.137470478,1.83E+02,33531,0.189740534,2.94E+02,294.3865546,371.8471429,199.9761905,26.74603175,184.2434783,73.3452381,83.86958982,336.5751553,147.378836,14.28720238,129.1656174,246.2037594
2008,HERRING,117,4.02E-01,337.33,3.47E-01,9365,3.79E-01,3.82E+00,3031,0.12500,6.29E+00,294.3865546,26.74603175,294.3865546,26.74603175,83.86958982,14.28720238,83.86958982,14.28720238,36052,0.356531595,3.92E+02,27322,0.402378094,2.32E+02,14825,0.137470478,1.83E+02,33531,0.189740534,2.94E+02,53175,0.387884396,5.97E+02,32204,0.217753895,3.19E+02,371.8471429,199.9761905,608.5510204,184.2434783,73.3452381,48.16493506,336.5751553,147.378836,512.1454254,129.1656174,246.2037594,256.5261669
2009,HERRING,57,4.71E-01,71.12,8.01E-01,36052,3.57E-01,9.20E+01,27322,0.40300,3.99E+01,371.8471429,184.2434783,371.8471429,184.2434783,336.5751553,129.1656174,336.5751553,129.1656174,14825,0.137470478,1.83E+02,33531,0.189740534,2.94E+02,53175,0.387884396,5.97E+02,32204,0.217753895,3.19E+02,22588,0.154952935,2.03E+02,74706,0.359690477,5.98E+02,199.9761905,608.5510204,174.1619048,73.3452381,48.16493506,1160.647619,147.378836,512.1454254,146.7690695,246.2037594,256.5261669,459.4592
2010,HERRING,31,6.46E-01,341.77,9.07E-02,14825,1.38E-01,5.66E+01,33531,0.19000,8.44E+01,199.9761905,73.3452381,199.9761905,73.3452381,147.378836,246.2037594,147.378836,246.2037594,53175,0.387884396,5.97E+02,32204,0.217753895,3.19E+02,22588,0.154952935,2.03E+02,74706,0.359690477,5.98E+02,21680,0.194720925,1.97E+02,49577,0.259095543,4.06E+02,608.5510204,174.1619048,49.98690476,48.16493506,1160.647619,371.7235023,512.1454254,146.7690695,139.4161039,256.5261669,459.4592,354.2770492
2011,HERRING,69,1.97E-01,421.95,1.64E-01,53175,3.88E-01,8.98E+01,32204,0.21800,3.33E+01,608.5510204,48.16493506,608.5510204,48.16493506,512.1454254,256.5261669,512.1454254,256.5261669,22588,0.154952935,2.03E+02,74706,0.359690477,5.98E+02,21680,0.194720925,1.97E+02,49577,0.259095543,4.06E+02,29639,0.219561242,2.72E+02,20315,0.197971591,1.86E+02,174.1619048,49.98690476,292.1142857,1160.647619,371.7235023,28.8952381,146.7690695,139.4161039,188.5245085,459.4592,354.2770492,161.2878113
2012,HERRING,29,6.74E-01,577.43,5.02E-02,22588,1.55E-01,3.08E+01,74706,0.36000,9.38E+01,174.1619048,1160.647619,174.1619048,1160.647619,146.7690695,459.4592,146.7690695,459.4592,21680,0.194720925,1.97E+02,49577,0.259095543,4.06E+02,29639,0.219561242,2.72E+02,20315,0.197971591,1.86E+02,24354,0.171588093,2.17E+02,24986,0.136370094,2.06E+02,49.98690476,292.1142857,200.178022,371.7235023,28.8952381,55.84693878,139.4161039,188.5245085,145.5035714,354.2770492,161.2878113,162.9048406
2013,HERRING,81,3.20E-01,483.73,1.67E-01,21680,1.95E-01,2.46E+01,49577,0.25900,5.19E+01,49.98690476,371.7235023,49.98690476,371.7235023,139.4161039,354.2770492,139.4161039,354.2770492,29639,0.219561242,2.72E+02,20315,0.197971591,1.86E+02,24354,0.171588093,2.17E+02,24986,0.136370094,2.06E+02,42777,0.243934396,3.51E+02,29746,0.270943296,2.48E+02,292.1142857,200.178022,890.7868132,28.8952381,55.84693878,500.6542857,188.5245085,145.5035714,329.7801653,161.2878113,162.9048406,156.0966667
2014,HERRING,163,3.29E-01,642.18,2.54E-01,29639,2.20E-01,2.05E+01,20315,0.19800,1.45E+01,292.1142857,28.8952381,292.1142857,28.8952381,188.5245085,161.2878113,188.5245085,161.2878113,24354,0.171588093,2.17E+02,24986,0.136370094,2.06E+02,42777,0.243934396,3.51E+02,29746,0.270943296,2.48E+02,26354,0.239601629,3.34E+02,12280,0.12624973,1.22E+02,200.178022,890.7868132,674.0178571,55.84693878,500.6542857,40.94581281,145.5035714,329.7801653,288.2047016,162.9048406,156.0966667,66.992
2015,HERRING,91,2.36E-01,616.55,1.48E-01,24354,1.72E-01,2.09E+01,24986,0.13600,3.84E+01,200.178022,55.84693878,200.178022,55.84693878,145.5035714,162.9048406,145.5035714,162.9048406,42777,0.243934396,3.51E+02,29746,0.270943296,2.48E+02,26354,0.239601629,3.34E+02,12280,0.12624973,1.22E+02,8853,0.166747224,1.15E+02,5691,0.08996187,9.49E+01,890.7868132,674.0178571,75.47619048,500.6542857,40.94581281,82.72773109,329.7801653,288.2047016,50.15473098,156.0966667,66.992,41.63857143
2016,HERRING,0,0,616.55,0,42777,2.44E-01,1.62E+01,29746,0.27100,2.08E+01,890.7868132,500.6542857,890.7868132,500.6542857,329.7801653,156.0966667,329.7801653,156.0966667,26354,0.239601629,3.34E+02,12280,0.12624973,1.22E+02,8853,0.166747224,1.15E+02,5691,0.08996187,9.49E+01,7580,0.087443293,7.98E+01,27479,0.271244079,2.50E+02,674.0178571,75.47619048,31.04285714,40.94581281,82.72773109,386.1654762,288.2047016,50.15473098,51.86045113,66.992,41.63857143,200.1135065
2017,HERRING,12,2.00E-01,NA,NA,26354,2.40E-01,2.01E+01,12280,0.12600,9.87E+00,674.0178571,40.94581281,674.0178571,40.94581281,288.2047016,66.992,288.2047016,66.992,8853,0.166747224,1.15E+02,5691,0.08996187,9.49E+01,7580,0.087443293,7.98E+01,27479,0.271244079,2.50E+02,NA,NA,NA,NA,NA,NA,75.47619048,31.04285714,NA,82.72773109,386.1654762,NA,50.15473098,51.86045113,NA,41.63857143,200.1135065,NA
2018,HERRING,40,2.55E-01,NA,NA,8853,1.67E-01,7.85E+00,5691,0.09000,1.48E+01,75.47619048,82.72773109,75.47619048,82.72773109,50.15473098,41.63857143,50.15473098,41.63857143,7580,0.087443293,7.98E+01,27479,0.271244079,2.50E+02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.04285714,NA,NA,386.1654762,NA,NA,51.86045113,NA,NA,200.1135065,NA,NA
2019,HERRING,158,3.45E-01,NA,NA,7580,8.75E-02,1.13E+01,27479,0.27100,2.90E+01,31.04285714,386.1654762,31.04285714,386.1654762,51.86045113,200.1135065,51.86045113,200.1135065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
